"version","title","normalScore","normalDJName","normalPrefecture","hyperScore","hyperDJName","hyperPrefecture","anotherScore","anotherDJName","anotherPrefecture"
"1st&substream","22DUNK","530","326G1",,"644","CARP*S",,"657","CARP*S",
"1st&substream","5.1.1.","198","MOGRA3",,"1019","CARP*S",,"1561","KA-",
"1st&substream","Dr.LOVE","408","RIKO",,"522","326G1",,"580","MOKA.A",
"1st&substream","GAMBOL","274","RIKO",,"263","CIRNO9",,,,
"1st&substream","GRADIUSIC CYBER","879","MUFU-A",,"1008","CARP*S",,"1214","NEFF",
"1st&substream","R3","660","RIKO",,"735","CARP*S",,"906","CARP*S",
"1st&substream","BRILLIANT 2U","540","326G1",,"660","326G1",,"724","SL-BOY",
"1st&substream","deep in you","500","326G1",,"510","CARP*S",,"663","CARP*S",
"1st&substream","GENOM SCREAMS","422","326G1",,"830","SK.HO4",,"1067","KA-",
"1st&substream","gentle stress","464","RIKO",,"699","MIO.A",,,,
"1st&substream","Macho Gang","382","AMI5",,"1087","Y.S-Y",,"1639","KA-",
"1st&substream","RUGGED ASH","370","RIKO",,"402","AMI5",,"1089","DDN",
"1st&substream","KEEP ON MOVIN'","196","AMI5",,"244","*JENA*",,,,
"1st&substream","THE EARTH LIGHT","795","UNYO",,"1054","CARP*S",,"1156","CARP*S",
"2nd style",".59","719","GES8RO",,"1020","Y.S-Y",,"1162","DO",
"2nd style","Dancin' Into The Night","432","AMI5",,"470","326G1",,,,
"2nd style","Digital MinD(A/T Libra mix)","745","GES8RO",,"1066","WWWWWW",,"1135","TANMEN",
"2nd style","Electro Tuned(the SubS mix)","778","326G1",,"958","CARP*S",,"1069","KA-",
"2nd style","I Was The One","544","326G1",,"652","326G1",,"695","DDN",
"2nd style","Indigo Vision(full flavour hide around mix)","882","326G1",,"1128","HIGA-C",,"1217","KA-",
"2nd style","PUT YOUR FAITH IN ME","582","UNYO",,"865","AMI5",,,,
"2nd style","SP-TRIP MACHINE(for beatmania II)","508","RIKO",,"626","326G1",,"648","DDN",
"3rd style","CAN'T STOP FALLIN'IN LOVE","620","326G1",,"1260","-SEVA-",,,,
