"version","title","normalScore","normalDJName","normalPrefecture","hyperScore","hyperDJName","hyperPrefecture","anotherScore","anotherDJName","anotherPrefecture"
"1st&substream","22DUNK","530","STA",,"644","UNYO",,"656","DOLCF",
"1st&substream","5.1.1.","198","BECK69",,"1019","HI-G",,"1559","HORI",
"1st&substream","Dr.LOVE","408","UNYO",,"522","STA",,"580","STA",
"1st&substream","GAMBOL","274","CIRNO9",,"268","CIRN09",,,,
"1st&substream","GRADIUSIC CYBER","877","HI-G",,"1011","CARP*S",,"1210","DOLCF",
"1st&substream","R3","660","STA",,"734","ARAD",,"906","DOLCF",
"1st&substream","BRILLIANT 2U","540","STA",,"660","BEATIT",,"723","CARP*S",
"1st&substream","deep in you","500","STA",,"507","*M&T*",,"665","POLO",
"1st&substream","GENOM SCREAMS","422","STA",,"830","ARAD",,"1070","POLO",
"1st&substream","KEEP ON MOVIN'","196","LARK!M",,"244","FOL*C",,,,
"1st&substream","Macho Gang","382","STA",,"1080","GES8RO",,"1656","*HUYU*",
"1st&substream","PARANOiA MAX～DIRTY MIX～","560","STA",,"752","YMG-C",,"1113","DOLCF",
"1st&substream","RUGGED ASH","370","STA",,"402","STA",,"1094","TANMEN",
"1st&substream","THE EARTH LIGHT","792","LARK!M",,"1052","ARAD",,"1157","DOLCF",
"2nd style",".59","719","GES8RO",,"1024","CARP*S",,"1159","YUJIUS",
"2nd style","Dancin' Into The Night","432","STA",,"470","STA",,,,
"2nd style","Digital MinD(A/T Libra mix)","747","STA",,"1068","ARAD",,"1132","RIE.",
"2nd style","Electro Tuned(the SubS mix)","777","UNYO",,"963","ARAD",,"1069","POLO",
"2nd style","I Was The One","544","STA",,"652","STA",,"696","NEFF",
"2nd style","Indigo Vision(full flavour hide around mix)","881","STA",,"1130","CARP*S",,"1227","IMPALA",
"2nd style","PUT YOUR FAITH IN ME( for beatmania II )","582","STA",,"865","TANMEN",,,,
"2nd style","SP-TRIP MACHINE(for beatmania II)","508","STA",,"626","STA",,"648","TANMEN",
"3rd style","CAN'T STOP FALLIN'IN LOVE","620","STA",,"1258","DOLCF",,,,
"3rd style","Don't Stop!","778","UNYO",,"856","JAI&CO",,"906","JAI&CO",
"3rd style","era(nostal mix)","862","STA",,"1094","DONUTS",,"1541","DOLCF",
"3rd style","Holic","785","LARK!M",,"1231","ARAD",,"1727","DOLCF",
"3rd style","LEADING CYBER","863","ATIA",,"1213","ARAD",,"1279","DOLCF",
"3rd style","Presto","546","STA",,"994","CARP*S",,"1013","TANMEN",
"3rd style","R5","774","STA",,"1174","CARP*S",,"1766","IMPALA",
"3rd style","REINCARNATION","847","LARK!M",,"1045","ARAD",,"1279","TANMEN",
"3rd style","Schlagwerk","827","STA",,"1310","4CHO-",,"1688","TANMEN",
"3rd style","Skyscraper","743","LARK!M",,"1214","CARP*S",,"1254","DOLCF",
"3rd style","Tangerine Stream","282","NAO10",,"396","TAKAVO",,,,
"3rd style","The SAFARI","1229","AYANE.",,"1778","TANMEN",,,,
"4th style","250bpm","700","STA",,"1033","873ZKI",,"1421","TANMEN",
"4th style","ABSOLUTE","1342","MASAKI",,"1840","TANMEN",,,,
"4th style","B4U","1065","LARK!M",,"1574","CARP*S",,"2015","DOLCF",
"4th style","Broken My Heart","943","AYANE.",,"1493","CARP*S",,"1820","DOLCF",
"4th style","Burnin' The Floor","586","STA",,"955","873ZKI",,"1439","POLO",
"4th style","CHECKING YOU OUT","661","*M&T*",,"902","SAGAI",,"1342","DO",
"4th style","Clione","528","STA",,"958","CARP*S",,,,
"4th style","DXY!","1286","ATIA",,"1898","IMPACT",,"2253","DOLCF",
"4th style","empathy","832","STA",,"1377","N!?",,"1467","DOLCF",
