バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,最終プレー日時
10th style,BABY LOVE,ITALO POP,Noria,0,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,CLEAR,---,10,0,0,0,---,HARD CLEAR,---,2018-11-24 08:28
PENDUAL,Scarlet Moon,J-CORE,REDALiCE feat. Ayumi Nomiya,3,6,690,300,90,33,ASSIST CLEAR,B,9,0,0,0,---,NO PLAY,---,11,0,0,0,---,HARD CLEAR,---,2018-12-24 08:28
copula,SURVIVOR,GRAVITY POP,SOUND HOLIC Vs. ZYTOKINE feat. Nana Takahashi,12,4,100,30,40,111,CLEAR,F,7,1033,491,51,5,CLEAR,AA,9,0,0,0,---,FULLCOMBO CLEAR,---,2018-11-24 08:28
SINOBUZ,禍根,ORBITALIC FUTURE BASS,U1 overground,1,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,11,2492,1176,140,9,FULLCOMBO CLEAR,AAA,2018-12-22 12:46
