"version","title","normalScore","normalDJName","normalPrefecture","hyperScore","hyperDJName","hyperPrefecture","anotherScore","anotherDJName","anotherPrefecture"
"1st&substream","22DUNK","514","AMI5",,"627","AGUILA",,"637","HELL",
"1st&substream","5.1.1.","195","NAO.",,"985","16GO!!",,"1499","EDGAR",
"1st&substream","Dr.LOVE","402","*TAM*",,"510","*TAM*",,"571","HELL",
"1st&substream","GAMBOL","271","AMI5",,"231","OK!",,,,
"1st&substream","GRADIUSIC CYBER","847","TART",,"967","CARP",,"1162","HELL",
"1st&substream","LUV TO ME(disco mix)","859","AMI4.9",,"893","AGUILA",,"962","HELL",
"1st&substream","Prince on a star","650","HELL",,"830","AGUILA",,"967","HELL",
"1st&substream","R3","650","HELL",,"712","N!?",,"870","HELL",
"1st&substream","Special energy","485","AMI5",,"583","UNYO",,"793","HELL",
"1st&substream","BRILLIANT 2U","525","TART",,"642","CARP",,"705","HELL",
"1st&substream","deep in you","485","HELL",,"492","HELL",,"641","HELL",
"1st&substream","GENOM SCREAMS","413","TART",,"805","AGUILA",,"1039","HELL",
"1st&substream","gentle stress","456","*TAM*",,"676","HELL",,,,
"1st&substream","Macho Gang","372","AMI5",,"1037","HONOKA",,"1555","MOMO00",
"1st&substream","RUGGED ASH","365","*TAM*",,"397","AMI5",,,,
"1st&substream","THE EARTH LIGHT","778","HELL",,"1019","CARP",,"1106","HELL",
"2nd style",".59","705","UNYO",,"982","AGUILA",,"1113","HELL",
"2nd style","Digital MinD(A/T Libra mix...","722","2KI4MA",,"1027","SUZAKU",,"1090","HELL",
"2nd style","Electro Tuned(the SubS mix...","757","AMI5",,"924","AGUILA",,"1028","HELL",
"2nd style","I Was The One","527","*TAM*",,"633","*TAM*",,"679","IKUNO",
"2nd style","Indigo Vision(full flavour...","850","TART",,"1083","POMNIT",,"1178","HELL",
"2nd style","SP-TRIP MACHINE(for beatma...","495","ANIES*",,"607","AKI-15",,"628","HELL",
"3rd style","CAN'T STOP FALLIN'IN LOVE","604","*TAM*",,"1216","WINTER",,,,
"3rd style","Cold Pulse","666","*TAM*",,"891","AGUILA",,"897","AGUILA",
"3rd style","Don't Stop!","763","*TAM*",,"837","UNYO",,"882","HELL",
"3rd style","DYNAMITE RAVE","667","*TAM*",,"1161","JUNPY*",,"1194","6UNIX9",
"3rd style","END OF THE CENTURY","898","TART",,"1331","UNYO",,"1393","KA",
"3rd style","era(nostal mix)","830","N!?",,"1042","KASU",,"1467","RA-YU1",
"3rd style","Holic","760","HELL",,"1190","NORI*P",,"1639","U-NAGI",
"3rd style","IS THIS LOVE?","584","HELL",,"845","AGUILA",,"853","HELL",
"3rd style","LEADING CYBER","843","HELL",,"1164","JAI&CO",,"1235","HELL",
"3rd style","Presto","531","TART",,"952","AGUILA",,"976","HELL",
"3rd style","R5","757","16GO!!",,"1138","716VI.",,"1713","K.",
"3rd style","REINCARNATION","827","HELL",,"1007","CARP",,"1225","HELL",
"3rd style","Schlagwerk","797","TART",,"1269","AGUILA",,"1618","MOMO00",
"3rd style","Skyscraper","725","HELL",,"1175","CARP",,"1205","HELL",
"3rd style","Tangerine Stream","278","TART",,"388","AMI5",,,,
"3rd style","The SAFARI","1179","RAQUEL",,"1700","MOMO00",,,,
"4th style","250bpm","671","TART",,"994","AKI-15",,"1339","*HUYU*",
"4th style","ABSOLUTE","1303","HELL",,"1760","SERA",,,,
"4th style","B4U","1031","HELL",,"1498","CARP",,"1908","HELL",
"4th style","Broken My Heart","922","HELL",,"1430","AGUILA",,"1746","HELL",
"4th style","CHECKING YOU OUT","627","MIND-S",,"834","WAIL",,"1251","MOMO00",
"4th style","Clione","519","*TAM*",,"931","X-KILA",,,,
"4th style","DIAMOND JEALOUSY","661","TART",,"1061","HELL",,,,
"4th style","DXY!","1224","RAQUEL",,"1798","WAGNAS",,"2133","*HUYU*",
"4th style","empathy","810","*TAM*",,"1359","KOU",,"1414","SERA",
"4th style","era(step mix)","1067","TART",,"1372","SAJI2",,"1617","DOLCE",
"4th style","GET ON BEAT(WILD STYLE)","1353","CAPCOM",,"1682","MMMMMM",,"2006","WINTER",
"4th style","HIGHER","533","*TAM*",,"909","AGUILA",,"1240","HELL",
"4th style","Hitch Hiker2","809","12TH",,"1174","CARP",,"1288","HELL",
