"version","title","normalScore","normalDJName","normalPrefecture","hyperScore","hyperDJName","hyperPrefecture","anotherScore","anotherDJName","anotherPrefecture"
"1st&substream","22DUNK","530","*TAM*",,"644","34NARA",,"655","KAKU",
"1st&substream","5.1.1.","198","TENDON",,"1019","16GO!!",,"1555","90884",
"1st&substream","diving money","262","TART",,"394","WWWWWW",,,,
"1st&substream","Dr.LOVE","408","S.A",,"522","*TAM*",,"580","TART",
"1st&substream","GAMBOL","274","34NARA",,"266","A873-0",,,,
"1st&substream","GRADIUSIC CYBER","877","HELL",,"1007","CARP*S",,"1208","KAKU",
"1st&substream","LUV TO ME(disco mix)","894","SAKAKI",,"936","AGUILA",,"990","KA*S",
"1st&substream","Prince on a star","664","TART",,"856","TART",,"995","*KNST*",
"1st&substream","R3","660","34NARA",,"736","N!?",,"904","90884",
"1st&substream","Special energy","502","TART",,"605","AGUILA",,"813","OTA96",
"1st&substream","BRILLIANT 2U","540","TART",,"660","34NARA",,"723","XAN.7",
"1st&substream","deep in you","500","TART",,"510","16GO!!",,"662","A873-0",
"1st&substream","GENOM SCREAMS","422","HI-GGG",,"829","AGUILA",,"1066","IMP",
"1st&substream","gentle stress","464","UNYO",,"699","34NARA",,,,
"1st&substream","Macho Gang","382","SAKAKI",,"1082","PITAGO",,"1639","KA*S",
"1st&substream","RUGGED ASH","370","TART",,"402","AKI-15",,,,
"1st&substream","THE EARTH LIGHT","793","SAKAKI",,"1053","SAKAKI",,"1153","90884",
"2nd style",".59","718","UNYO",,"1022","AGUILA",,"1157","KA*S",
"2nd style","Digital MinD(A/T Libra mix)","742","SAKAKI",,"1074","HELL",,"1133","JAI&CO",
"2nd style","Electro Tuned(the SubS mix)","776","SAKAKI",,"959","34NARA",,"1067","MUNEPY",
"2nd style","I Was The One","544","TART",,"652","TART",,"695","A873-0",
"2nd style","Indigo Vision(full flavour hide around mix)","883","SAKAKI",,"1131","WWWWWW",,"1218","CORE",
"2nd style","SP-TRIP MACHINE(for beatmania II)","508","S.A",,"626","SAKAKI",,"646","*KNST*",
"3rd style","CAN'T STOP FALLIN'IN LOVE","620","TART",,"1253","CARP*S",,,,
"3rd style","Cold Pulse","676","TART",,"919","CARP*S",,"926","AKAGI",
"3rd style","Don't Stop!","778","*TAM*",,"855","MAG2TO",,"905","JAI&CO",
"3rd style","DYNAMITE RAVE","689","SAKAKI",,"1193","CARP*S",,"1224","XAN.7",
"3rd style","END OF THE CENTURY","926","SAKAKI",,"1380","YMG-C",,"1430","SKYLUV",
"3rd style","era(nostal mix)","866","SAKAKI",,"1096","SUZAKU",,"1533","DOLCE.",
"3rd style","Holic","787","SAKAKI",,"1236","AGUILA",,"1716","TOTORO",
"3rd style","IS THIS LOVE?","598","34NARA",,"878","HELL",,"885","A873-0",
"3rd style","LEADING CYBER","864","HAL*",,"1214","AGUILA",,"1277","CARP*S",
"3rd style","never let you down","815","Y13",,"1147","N!?",,"1160","TTY.MJ",
"3rd style","Presto","546","TART",,"993","AGUILA",,"1012","IMP",
"3rd style","R5","774","HI-GGG",,"1173","AGUILA",,"1765","CORE",
"3rd style","REINCARNATION","844","SAKAKI",,"1044","CARP*S",,"1275","OTA96",
"3rd style","Schlagwerk","826","UNYO",,"1316","AGUILA",,"1686","DOLCE.",
"3rd style","Sense","873","SAKAKI",,"1129","34NARA",,"1308","JAI&CO",
"3rd style","Skyscraper","744","SAKAKI",,"1211","CARP*S",,"1250","*KNST*",
"3rd style","Tangerine Stream","282","NEODIO",,"396","A873-0",,,,
"3rd style","The SAFARI","1223","SAKAKI",,"1766","ASIAN2",,,,
"4th style","250bpm","704","SAKAKI",,"1027","CARP*S",,"1408","A873-0",
"4th style","ABSOLUTE","1345","SAKAKI",,"1837","AGUILA",,,,
"4th style","B4U","1065","SAKAKI",,"1571","CARP*S",,"2008","DOLCE.",
"4th style","Broken My Heart","946","UNYO",,"1492","CARP*S",,"1814","KA*S",
"4th style","Burnin' The Floor","586","34NARA",,"955","AGUILA",,"1436","KA*S",
"4th style","CHECKING YOU OUT","653","TE2YA*",,"892","SHANA",,"1320","SHANA",
"4th style","Clione","528","TART",,"956","AGUILA",,,,
"4th style","DIAMOND JEALOUSY","686","TART",,"1089","SKYLUV",,,,
"4th style","DXY!","1292","SAKAKI",,"1887","TTY.MJ",,"2213","*HUYU*",
"4th style","empathy","832","TART",,"1381","LEE",,"1459","KA*S",
"4th style","era(step mix)","1119","SAKAKI",,"1424","SUZAKU",,"1704","EMT2",
"4th style","GET ON BEAT(WILD STYLE)","1428","SAKAKI",,"1760","CARP*S",,"2113","NI-PON",
"4th style","HIGHER","540","SAKAKI",,"935","34NARA",,"1279","CARP*S",
"4th style","Hitch Hiker2","837","SAKAKI",,"1208","CARP*S",,"1318","KA*S",
"4th style","JIVE INTO THE NIGHT","1059","34NARA",,"1750","AGUILA",,"2193","XAN.7",
"4th style","KAMIKAZE","1029","SAKAKI",,"1482","AGUILA",,"2291","NI-PON",
"4th style","LOVE WILL...","558","*TAM*",,"758","WWWWWW",,"1458","CARP*S",
"4th style","LUV TO ME(UCCHIE'S EDITION)","874","SAKAKI",,"1225","CARP*S",,"1713","IMP",
"4th style","minimalian","542","NAQ",,"1105","CARP*S",,"1402","IMP",
"4th style","Mr.T.(take me higher)","853","*TAM*",,"1018","AGUILA",,"1760","KA*S",
"4th style","Nasty!","588","SAKAKI",,"960","SAKAKI",,"1557","FONEWM",
"4th style","NORTH","610","SAKAKI",,"931","DDN",,,,
"4th style","Nothing Ain't Stoppin' Us","392","34NARA",,"512","JAI&CO",,,,
"4th style","starmine*","911","SAKAKI",,"1425","SKYLUV",,"1584","9SOGE-",
"4th style","ULTRA HIGH-HEELS","759","SKYLUV",,"920","SAKAKI",,"992","ASIAN2",
"4th style","Voltage(feat.Hidemaru)","944","SAKAKI",,"1226","CARP*S",,"1332","IMP",
"5th style","Abyss","1274","N!?",,"1623","AGUILA",,"1871","9SOGE-",
"5th style","Give Me A Sign","877","SAKAKI",,"1279","AGUILA",,"1719","*HUYU*",
"5th style","in my eyes","967","*TAM*",,"1471","YMG-C",,"1582","9SOGE-",
"5th style","Kiss me all night long","935","SAKAKI",,"1243","CARP*S",,"1481","CARP*S",
"5th style","LOVE AGAIN TONIGHT～for Mellisa mix～","770","TART",,"1001","AGUILA",,"1119","HIRO-T",
"5th style","Mobo☆Moga","726","TART",,"1019","AGUILA",,"1179","9SOGE-",
"5th style","outer wall","943","SAKAKI",,"1362","CARP*S",,"1764","IMP",
"5th style","OVER THE CLOUDS","584","TART",,"1143","34NARA",,"1518","DDN",
"5th style","QQQ","1236","HELL",,"1895","TTY.MJ",,"2155","*HUYU*",
"5th style","Radical Faith","1193","SAKAKI",,"1509","A873-0",,"1303","KA*S",
"5th style","Real","1145","HELL",,"1685","AGUILA",,"1812","IMP",
"5th style","Regulus","1078","N!?",,"1540","AGUILA",,"1718","IMP",
"5th style","Remember You","374","TART",,"818","IMP",,,,
"5th style","RIDE ON THE LIGHT (HI GREAT MIX)","903","SAKAKI",,"1086","SAKAKI",,"1713","KA*S",
"5th style","RISLIM","925","*TAM*",,"1230","DDN",,,,
"5th style","sometime","782","SAKAKI",,"1066","LEE",,"1325","KA*S",
"5th style","Spin the disc","811","HELL",,"1305","JJJJJJ",,"1336","KA*S",
"5th style","STILL IN MY HEART","1030","SAKAKI",,"1390","AGUILA",,"1918","KA*S",
"5th style","still my words","927","N!?",,"1232","AGUILA",,,,
"5th style","sync","1095","SAKAKI",,"1942","CARP*S",,"2374","DOLCE.",
"5th style","tablets","756","TART",,"1091","AGUILA",,"1605","KA*S",
"5th style","THE CUBE","746","SAKAKI",,"1274","87DD",,"1359","9SOGE-",
"5th style","Time is money","613","34NARA",,"653","YMG-C",,,,
"5th style","V","1287","UNYO",,"2511","HORI",,"3010","DOLCE.",
"5th style","VIRTUAL MIND","676","TART",,"1198","TTY.MJ",,"1569","ERFOLG",
"6th style","19,November","1113","SAKAKI",,"1459","PITAGO",,"1791","AMERIA",
"6th style","20,November","819","HELL",,"1380","HELL",,"1250","HELL",
"6th style","電人イェーガーのテーマ(Theme of DENJIN J)","1115","SAKAKI",,"1573","DOLCE.",,,,
"6th style","Blueberry Stream","851","SAKAKI",,"1487","SUZAKU",,"1643","DOLCE.",
"6th style","Buffalo","1009","SAKAKI",,"1459","SAKAKI",,"1781","KA*S",
"6th style","Colors(radio edit)","1478","SAKAKI",,"1990","DDN",,"2407","NI-PON",
"6th style","DIVE -INTO YOUR HEART-","1300","SAKAKI",,"1857","CARP*S",,"2101","IMP",
"6th style","Five Regrets","556","16GO!?",,"1140","CARP*S",,,,
"6th style","fly through the night","903","SAKAKI",,"1365","CARP*S",,"1709","CORE",
"6th style","Free Style","942","SAKAKI",,"1121","MIND*S",,"1308","A873-0",
"6th style","Frozen Ray(original mix)","1324","HELL",,"1762","SAKAKI",,"1791","*A.T*",
"6th style","G2","1477","SAKAKI",,"1841","SAKAKI",,"2312","DOLCE.",
"6th style","Linus","971","SAKAKI",,"1553","CARP*S",,"2186","DOLCE.",
"6th style","NEMESIS","1033","N!?",,"1626","CARP*S",,"1891","NI-PON",
"6th style","rottel-da-sun","820","SAKAKI",,"1364","CARP*S",,"1842","XAN.7",
"6th style","Summer Vacation(CU mix)","1310","SAKAKI",,"1839","DOLCE.",,,,
"6th style","Take It Easy","1503","HELL",,"2389","HELL",,"2498","IMP",
"6th style","VJ ARMY","1308","TART",,"1743","AGUILA",,"1885","EMT2",
"6th style","Y31","1308","HELL",,"1564","WWWWWW",,"1910","TOTORO",
"6th style","こっちを向いてよ","866","XI-ARK",,"1303","WWWWWW",,"1394","IMP",
"7th style","2002","844","SAKAKI",,"1294","AGUILA",,"1477","CARP*S",
"7th style","A","1320","SAKAKI",,"2146","HORI",,"2453","TOTORO",
"7th style","AVE DE RAPINA","1400","HELL",,"1712","AGUILA",,"1832","9SOGE-",
"7th style","Bad Routine","1039","YMG-C",,"1426","33NAME",,,,
"7th style","Burning Heat! (Full Option Mix)","720","TART",,"976","CARP*S",,"1481","KA*S",
"7th style","Cheer Train","930","SAKAKI",,"1236","AGUILA",,"1727","90884",
"7th style","D2R","972","HELL",,"1331","AGUILA",,"1627","KA*S",
"7th style","DESTINY","1085","SAKAKI",,"1395","SKYLUV",,"1831","CARP*S",
"7th style","foreplay","708","SAKAKI",,"1230","PITAGO",,"1346","DOLCE.",
"7th style","Glorious Days","518","SAKAKI",,"811","AGUILA",,"898","JONYA",
"7th style","Gravity","1248","SAKAKI",,"1627","KA*S",,,,
"7th style","Happy Wedding","1225","MAGZEL",,"1704","SUZAKU",,"1839","DOLCE.",
"7th style","i feel...","906","SAKAKI",,"1109","AGUILA",,"1248","DATA28",
"7th style","Last Message","1021","SAKAKI",,"1351","CARP*S",,"1620","BAN-BE",
"7th style","Let the Snow Paint Me","862","TART",,"1070","WWWWWW",,"1245","*KNST*",
"7th style","Love Me Do","1134","SAKAKI",,"1705","SKYLUV",,"2098","SHANA",
"7th style","Marmalade Reverie","869","SKYLUV",,"1004","AGUILA",,"1267","*KNST*",
"7th style","MAX 300","1133","SKYLUV",,"1926","DOLCE.",,,,
