"version","title","normalScore","normalDJName","normalPrefecture","hyperScore","hyperDJName","hyperPrefecture","anotherScore","anotherDJName","anotherPrefecture"
"1st&substream","22DUNK","530","TART",,"646","VEGETA",,"655","TERROR",
"1st&substream","5.1.1.","198","CIRNO9",,"1019","MEIAN.",,"1561","TERROR",
"1st&substream","Dr.LOVE","408","TART",,"522","TART",,"580","TART",
"1st&substream","GAMBOL","274","CIRNO9",,"266","CIRNO9",,,,
"1st&substream","GRADIUSIC CYBER","882","IMOTO*",,"1002","ARAD",,"1206","NOVAK",
"1st&substream","R3","660","TART",,"734","ARAD",,"905","GOLGO",
"1st&substream","BRILLIANT 2U","540","TART",,"660","TART",,"723","SSSSSS",
"1st&substream","deep in you","500","TART",,"510","ARAD",,"663","TETSUO",
"1st&substream","GENOM SCREAMS","422","TART",,"828","ARAD",,"1068","JAI&CO",
"1st&substream","KEEP ON MOVIN'","196","TART",,"244","OP*PO*",,,,
"1st&substream","Macho Gang","382","TART",,"1084","MEIAN.",,"1642","*SNOW*",
"1st&substream","PARANOiA MAX～DIRTY MIX～","560","TART",,"750","TART",,"1110","DOLCE.",
"1st&substream","RUGGED ASH","370","TART",,"402","MONO",,"1100","TANMEN",
"1st&substream","THE EARTH LIGHT","795","TURTLE",,"1052","GES8RO",,"1153","*SHO*",
"2nd style",".59","717","TURTLE",,"1017","MABERI",,"1160","TETSUO",
"2nd style","Dancin' Into The Night","432","TART",,"470","-AKI-",,,,
"2nd style","Digital MinD(A/T Libra mix)","747","TURTLE",,"1069","ARAD",,"1135","ARAD",
"2nd style","Electro Tuned(the SubS mix)","778","NOVAK",,"962","ARAD",,"1069","TANMEN",
"2nd style","I Was The One","544","TART",,"652","TART",,"695","$777$",
"2nd style","Indigo Vision(full flavour hide around mix)","881","TURTLE",,"1128","VEGETA",,"1224","TANMEN",
"2nd style","PUT YOUR FAITH IN ME( for beatmania II )","582","TART",,"862","N!?",,,,
"2nd style","SP-TRIP MACHINE(for beatmania II)","508","TART",,"626","TART",,"647","HAGGER",
"3rd style","CAN'T STOP FALLIN'IN LOVE","620","TART",,"1258","TERROR",,,,
"3rd style","Don't Stop!","778","TART",,"856","TART",,"905","TETSUO",
"3rd style","era(nostal mix)","863","TART",,"1097","AYANE.",,"1541","DOLCE.",
"3rd style","Holic","785","TART",,"1233","ARAD",,"1723","*SNOW*",
"3rd style","LEADING CYBER","863","GES8RO",,"1210","GES8RO",,"1277","XAN.L",
"3rd style","Presto","546","TART",,"989","UNYO",,"1010","XAN.L",
"3rd style","R5","774","TART",,"1170","ARAD",,"1769","F.A",
"3rd style","REINCARNATION","848","TURTLE",,"1043","IMOTO*",,"1278","TANMEN",
"3rd style","Schlagwerk","825","TART",,"1312","ARAD",,"1688","XAN.L",
"3rd style","Skyscraper","742","TURTLE",,"1214","NOIK.S",,"1251","TANMEN",
"3rd style","Tangerine Stream","282","WINDOM",,"396","WINDOM",,,,
"3rd style","The SAFARI","1223","IMOTO*",,"1770","YOZUCA",,,,
"4th style","250bpm","701","TURTLE",,"1032","TOTORI",,"1428","TANMEN",
"4th style","ABSOLUTE","1345","GES8RO",,"1844","LAL-CE",,"2409","*SNOW*",
"4th style","B4U","1069","TURTLE",,"1580","SHOP-E",,"2006","TANMEN",
"4th style","Broken My Heart","945","IMOTO*",,"1492","RICK.",,"1825","TANMEN",
"4th style","Burnin' The Floor","586","TURTLE",,"953","ARAD",,"1438","SHOP-E",
