"version","title","normalScore","normalDJName","normalPrefecture","hyperScore","hyperDJName","hyperPrefecture","anotherScore","anotherDJName","anotherPrefecture"
"1st&substream","22DUNK","508","TART",,"614","AQUA",,"626","ANB",
"1st&substream","5.1.1.",,,,"196","OK!",,"1470","ANB",
"1st&substream","Dr.LOVE","395","TART",,"503","INOKI",,"555","*IRIS*",
"1st&substream","GAMBOL",,,,"216","OK!",,,,
"1st&substream","GRADIUSIC CYBER","843","TART",,"962","*SERA*",,"1157","VTI",
"1st&substream","LUV TO ME(disco mix)","840","TART",,"879","SEIYA",,"939","K2R-3P",
"1st&substream","Melt in my arms","395","TART",,"452","P.966",,"492","JAI&CO",
"1st&substream","Prince on a star","633","TART",,"816","SEIYA",,"966","ANB",
"1st&substream","R3","630","TART",,"711","WTR",,"864","HELL",
"1st&substream","BRILLIANT 2U","529","TART",,"638","D.H",,"698","*SERA*",
"1st&substream","GENOM SCREAMS","404","TART",,"790","HELL",,"1024","VTI",
"1st&substream","gentle stress","449","TART",,"665","LAB-7",,,,
"1st&substream","Macho Gang","367","TART",,"1016","*IRIS*",,"1530","VTI",
"1st&substream","THE EARTH LIGHT","760","TART",,"1017","SEIYA",,"1088","VTI",
"2nd style",".59","686","TART",,"980","SEIYA",,"1106","SEIYA",
"2nd style","bad boy","478","TART",,"634","YMG-C",,,,
"2nd style","Dancin' Into The Night","422","TART",,"458","SEIYA",,,,
"2nd style","Digital MinD","719","HIRO-C",,"1022","LI-LIF",,"1085","ANB",
"2nd style","Electro Tuned","745","TART",,"914","JUNP",,"1021","ANB",
"2nd style","Headache","532","TART",,"653","VTI",,,,
"2nd style","Hitch Hiker","634","TART",,"793","P.966",,"897","*SERA*",
"2nd style","I Was The One","521","TART",,"629","LOVE&P",,"669","JAI&CO",
"2nd style","I'm In Love Again","704","TART",,"831","*SERA*",,,,
"2nd style","Indigo Vision","854","TART",,"1093","HIRO-T",,"1162","ANB",
"2nd style","Second Style","619","TART",,"753","LAB-7",,,,
"2nd style","Shine On","633","TAM",,"874","SEIYA",,"905","SEIYA",
"2nd style","SP-TRIP MACHINE","492","HELL",,"608","HIRO-C",,"629","RIN",
"3rd style","CAN'T STOP FALLIN'IN LOVE","604","UNYO.",,"1201","VTI",,,,
"3rd style","Cold Pulse","644","TART",,"869","EBIEBI",,"892","ANB",
"3rd style","Don't Stop!","758","TART",,"831","INOP",,"881","WTR",
"3rd style","DYNAMITE RAVE","662","INOKI",,"1160","*SERA*",,"1189","SEIYA",
"3rd style","END OF THE CENTURY","887","TART",,"1332","JAI&CO",,"1385","DO",
"3rd style","era(nostal mix)","821","JUNP",,"1056","WTR",,"1462","THRUSH",
"3rd style","Get me in your sight","561","TART",,"825","ANB",,,,
"3rd style","Holic","758","SAKAKI",,"1190","HUKKI.",,"1633","ANB",
"3rd style","LEADING CYBER","825","TART",,"1167","*SERA*",,"1205","VTI",
"3rd style","Presto","527","TART",,"953","SEIYA",,"981","*SERA*",
"3rd style","R5","761","TART",,"1130","*BAB*",,"1695","VTI",
"3rd style","REINCARNATION","806","TART",,"1007","SEIYA",,"1223","*SERA*",
"3rd style","Schlagwerk","787","TART",,"1261","SEIYA",,"1606","JAI&CO",
"3rd style","Skyscraper","710","TART",,"1169","SEIYA",,"1199","SEIYA",
"3rd style","Tangerine Stream",,,,"385","KAKU",,,,
"3rd style","The SAFARI","1177","RIN",,"1718","ANB",,,,
"4th style","250bpm","659","TART",,"987","WTR",,"1328","ANB",
"4th style","ABSOLUTE","1288","UNYO.",,"1758","*SERA*",,,,
"4th style","B4U","1023","UNYO.",,"1514","HAMSTA",,"1915","ANB",
"4th style","Broken My Heart","906","JUNP",,"1431","WTR",,"1741","ANB",
"4th style","CHECKING YOU OUT","607","HIRO-C",,"818","LAB-7",,"1170","LAB-7",
"4th style","Clione","510","HIGE-P",,"921","SEIYA",,,,
"4th style","DIAMOND JEALOUSY","656","HIRO-C",,"1051","ANB",,,,
"4th style","DXY!","1236","RIN",,"1793","LAB-7",,"2130","VTI",
"4th style","empathy","810","JUNP",,"1313","*SERA*",,"1407","*SERA*",
"4th style","era(step mix)","1056","TART",,"1353","*SERA*",,"1634","VTI",
"4th style","Final Count Down(MTO CRY ...","783","HIRO-C",,"1483","*SERA*",,"1581","*SERA*",
"4th style","GET ON BEAT(WILD STYLE)","1339","ATIA",,"1678","P&G-UD",,"2013","ANB",
"4th style","HIGHER","522","TART",,"907","*SERA*",,"1234","HAMSTA",
"4th style","Hitch Hiker2","801","RIN",,"1165","YMG-C",,"1263","ANB",
"4th style","I'M FOR REAL","510","TART",,"601","INOKI",,"706","*SERA*",
"4th style","KAMIKAZE","1003","UNYO.",,"1430","RAQ",,"2206","ANB",
"4th style","LOVE WILL...","536","TART",,"737","OTSUYU",,"1419","*SERA*",
"4th style","LUV TO ME(UCCHIE'S EDITIO...","842","WTR",,"1175","WTR",,"1593","EBIB!?",
"4th style","minimalian","529","ATIA",,"1059","YMG-C",,"1349","ANB",
"4th style","Mr.T(take me higher)","820","AIL.31",,"987","PON108",,"1690","ANB",
"4th style","NORTH","588","INOKI",,"901","WTR",,,,
"4th style","Nothing Ain't Stoppin' Us","388","TART",,"506","LAB-7",,,,
"4th style","starmine","870","ATIA",,"1370","*SERA*",,"1517","*SERA*",
"4th style","SWEET LAB","531","TART",,"627","SNOW",,"714","ANB",
"4th style","ULTRA HIGH-HEELS","724","KAME",,"883","WTR",,"964","*SERA*",
"4th style","Vienna","601","JUNP",,"818","YMG-C",,,,
"4th style","Voltage","894","CALF",,"1178","*SERA*",,"1277","ANB",
"5th style","Abyss","1227","AJP*21",,"1557","*SERA*",,"1798","ANB",
"5th style","Come With Me","763","TART",,"902","WTR",,"1273","ANB",
"5th style","Give Me A Sign","833","RIN",,"1212","QRIS",,"1638","ANB",
"5th style","in my eyes","926","TART",,"1413","WTR",,"1517","ANB",
"5th style","Kiss me all night long","893","CINK",,"1198","*SERA*",,"1421","*SERA*",
"5th style","LOVE AGAIN TONIGHT","755","SAKAKI",,"979","LAB-7",,"1093","JAI&CO",
"5th style","Mobo☆Moga","694","HIRO-C",,"992","*SERA*",,"1142","ANB",
"5th style","outer wall","896","CINK",,"1304","WTR",,"1680","ANB",
"5th style","OVER THE CLOUDS","563","FUJO*C",,"1108","WTR",,"1457","ANB",
"5th style","QQQ","1181","ATIA",,"1814","KEIT-C",,"2048","HAMSTA",
"5th style","Radical Faith","1134","JUNP",,"1452","SEIYA",,"1233","HAMSTA",
"5th style","Real","1100","CINK",,"1614","HAMSTA",,"1740","ANB",
"5th style","Regulus","1039","893!?",,"1448","SEIYA",,"1632","ANB",
"5th style","Remember You","360","TART",,"791","JUNP",,,,
"5th style","RIDE ON THE LIGHT","867","SAKAKI",,"1044","NAO...",,"1658","ANB",
"5th style","RISLIM","883","JUNP",,"1189","SEIYA",,,,
"5th style","sometime","742","HIRO-C",,"1030","WTR",,"1276","VTI",
"5th style","Spin the disc","773","JUNP",,"1239","WTR",,"1275","VTI",
"5th style","STILL IN MY HEART","990","893!?",,"1336","HELL",,"1838","ANB",
"5th style","still my words","889","INOKI",,"1188","*SERA*",,,,
"5th style","sync","1043","ATIA",,"1855","*SERA*",,"2266","VTI",
"5th style","tablets","726","G44",,"1055","JUNP",,"1523","ANB",
"5th style","THE CUBE","717","TART",,"1232","SEIYA",,"1308","LAB-7",
"5th style","V","1234","SAKAKI",,"2403","HIRO-T",,"2846","ANB",
"6th style","19,November","1063","AJP*21",,"1396","HELL",,"1711","VTI",
"6th style","電人イェーガーのテーマ ～...","1063","YMG-C",,"1504","ANB",,,,
"6th style","Beautiful Days","791","TAM",,"1091","LAB-7",,"1455","HELL",
"6th style","Blueberry Stream","812","TART",,"1432","*SERA*",,"1585","ANB",
"6th style","Buffalo","948","JUNP",,"1395","SEIYA",,"1699","BAK#00",
"6th style","Colors(radio edit)","1410","JUNP",,"1890","SEIYA",,"2269","ANB",
"6th style","Comment te dire adieu","750","HELL",,"937","HELL",,"1189","XAVI-L",
"6th style","DIVE -INTO YOUR HEART-","1244","UNYO.",,"1790","*SERA*",,"1999","ANB",
"6th style","Five Regrets","533","TART",,"1103","*SERA*",,,,
"6th style","Fly Away(Instrumental)","801","CINK",,"1492","HELL",,"1647","ANB",
"6th style","fly through the night","862","CINK",,"1294","#LARK#",,"1634","ANB",
"6th style","Free Style","885","RIN",,"1070","LAB-7",,"1266","ANB",
"6th style","Frozen Ray(original mix)","1255","POOH3*",,"1704","XAVI-L",,"1738","*SERA*",
"6th style","G2","1392","893!?",,"1757","RUI",,"2213","ANB",
"6th style","L'amour et la liberte'","986","UNYO.",,"1533","ANB",,,,
"6th style","Linus","930","PELA",,"1495","*SERA*",,"2101","ANB",
"6th style","NEMESIS","980","ATIA",,"1556","??!!",,"1801","ANB",
"6th style","ROMEO & JULIET","903","RIN",,"1271","-MASA-",,"2049","*SERA*",
"6th style","rottel-da-sun","775","ATIA",,"1300","*HEI*",,"1777","ANB",
"6th style","Summer Vacation","1232","KAKU",,"1749","ANB",,,,
"6th style","Take It Easy","1409","ATIA",,"2286","WTR",,"2387","VTI",
"6th style","VJ ARMY","1241","JUNP",,"1676","*SERA*",,"1808","VTI",
"6th style","Y31","1241","HIRO-C",,"1497","SHORNE",,"1813","VTI",
"6th style","YESTERDAY","1021","INOKI",,"1413","*SERA*",,"1725","ANB",
"6th style","こっちを向いてよ","819","RIN",,"1249","YMG-C",,"1321","ANB",
"7th style","2002","799","TART",,"1226","SEIYA",,"1414","ANB",
"7th style","A","1220","JUNP",,"2046","HAMSTA",,"2302","K2R-3P",
"7th style","Burning Heat!","689","INOKI",,"931","WTR",,"1415","VTI",
"7th style","BURNING UP FOR YOU","406","TART",,"822","*SERA*",,"1422","*SERA*",
"7th style","Cheer Train","877","ATIA",,"1170","*SERA*",,"1654","ANB",
"7th style","D2R","931","RIN",,"1272","WTR",,"1560","VTI",
"7th style","DESTINY","1038","UNYO.",,"1338","*SERA*",,"1778","ANB",
"7th style","foreplay","679","JUNP",,"1169","SEIYA",,"1259","ANB",
"7th style","Glorious Days","488","TOKA",,"776","16GO!!",,"850","UNYO.",
"7th style","Gravity","1179","N-M.I",,"1557","ANB",,,,
"7th style","Happy Wedding","1160","TART",,"1614","HAMSTA",,"1738","ANB",
"7th style","HEARTBEAT","934","RIN",,"1507","HAMSTA",,"1515","ANB",
"7th style","i feel...","884","HIGE-P",,"1084","JAI&CO",,"1212","ANB",
"7th style","Last Message","992","RIN",,"1297","SEIYA",,"1537","HELL",
"7th style","Let the Snow Paint Me","830","TART",,"1040","MMMMMM",,"1200","ANB",
"7th style","LOVE GENERATION","960","KAME",,"1415","SEIYA",,"1641","??!!",
"7th style","Love Me Do","1089","HIRO-C",,"1641","HIGE-P",,"2031","*SERA*",
"7th style","Marmalade Reverie","835","TAMTAM",,"968","RUI",,"1226","ANB",
"7th style","MAX 300","1061","SAKAKI",,"1826","HAMSTA",,,,
"7th style","Remember Me","882","UNYO.",,"1524","*SERA*",,,,
"7th style","Secret Tale","767","ATIA",,"1108","WTR",,"1442","ANB",
"7th style","SOLID GOLD","1145","AJP*21",,"1477","*SERA*",,"1642","ANB",
"7th style","Spica","630","TOKA",,"1424","*SERA*",,"2103","VTI",
"7th style","Spooky","1058","JUNP",,"1352","WTR",,"1570","VTI",
"7th style","stoic","1622","893!?",,"2325","*SERA*",,"2406","VTI",
"7th style","The Beauty of Silence","847","USO-5",,"1227","WTR",,"1545","JAI&CO",
"7th style","Tomorrow Perfume","1261","TART",,"1839","K.F",,"2011","HAMSTA",
"7th style","traces","1486","893!?",,"1854","HAMSTA",,"2048","VTI",
"7th style","ZERO-ONE","1050","ATIA",,"1645","SEIYA",,"2124","XAVI-L",
"7th style","革命","743","HIGE-P",,"1881","*PRG*",,"2214","ANB",
