バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,0,1,0,0,0,-1,NO PLAY,6,0,0,0,-1,HARD CLEAR,10,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
1st&substream,GRADIUSIC CYBER,DIGI-ROCK,TAKA,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
1st&substream,R3,RAVE,tiger YAMATO,0,4,0,0,0,-1,EASY CLEAR,5,0,0,0,-1,FULLCOMBO CLEAR,6,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
1st&substream,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,0,2,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
1st&substream,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,0,4,0,0,0,-1,NO PLAY,7,0,0,0,-1,HARD CLEAR,8,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
1st&substream,GAMBOL,BIG BEAT,SLAKE,0,1,0,0,0,-1,FULLCOMBO CLEAR,1,0,0,0,-1,FULLCOMBO CLEAR,0,0,0,0,-1,NO PLAY,2015-11-28 17:30
1st&substream,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,0,3,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
1st&substream,22DUNK,TECHNO,SLAKE,0,3,0,0,0,-1,NO PLAY,4,0,0,0,-1,NO PLAY,5,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
1st&substream,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,0,2,0,0,0,-1,NO PLAY,3,0,0,0,-1,NO PLAY,3,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
1st&substream,BRILLIANT 2U,EURO GROOVE,NAOKI,0,3,0,0,0,-1,NO PLAY,4,0,0,0,-1,FULLCOMBO CLEAR,4,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
