バージョン,タイトル,ジャンル,アーティスト,プレー回数,NORMAL 難易度,NORMAL EXスコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,HYPER 難易度,HYPER EXスコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,ANOTHER 難易度,ANOTHER EXスコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,最終プレー日時
1st&substream,deep in you,DANCE POP,dj nagureo,0,3,0,0,0,-1,NO PLAY,3,0,0,0,-1,HARD CLEAR,5,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
1st&substream,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,2,0,0,0,-1,FULLCOMBO CLEAR,3,0,0,0,-1,FULLCOMBO CLEAR,9,1042,489,64,2,FULLCOMBO CLEAR,2016-10-15 13:25
1st&substream,KEEP ON MOVIN',DANCE POP,N.M.R.,0,1,0,0,0,-1,NO PLAY,3,0,0,0,-1,FULLCOMBO CLEAR,0,0,0,0,-1,NO PLAY,2015-11-28 17:30
2nd style,.59,CHILL OUT,dj TAKA,0,4,0,0,0,-1,HARD CLEAR,6,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
2nd style,Digital MinD(A/T Libra mix),MINIMAL,TaQ,0,3,0,0,0,-1,NO PLAY,5,0,0,0,-1,CLEAR,6,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
2nd style,Electro Tuned(the SubS mix),BIG BEAT,TaQ,0,4,0,0,0,-1,NO PLAY,5,0,0,0,-1,HARD CLEAR,6,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
2nd style,I Was The One,ITALO HOUSE,good-cool,0,2,0,0,0,-1,HARD CLEAR,3,0,0,0,-1,FULLCOMBO CLEAR,3,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
2nd style,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,0,3,0,0,0,-1,NO PLAY,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
2nd style,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,0,3,0,0,0,-1,NO PLAY,4,0,0,0,-1,NO PLAY,4,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
3rd style,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,0,4,0,0,0,-1,NO PLAY,4,0,0,0,-1,FULLCOMBO CLEAR,4,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
3rd style,era (nostalmix),DRUM'N'BASS,TaQ,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
3rd style,Holic,HARD TECHNO,TaQ,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,HARD CLEAR,11,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,CLEAR,7,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,0,3,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,11,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
3rd style,REINCARNATION,TRANCE,dj TAKA,0,4,0,0,0,-1,NO PLAY,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
3rd style,Schlagwerk,BIG BEAT,TaQ,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
3rd style,Skyscraper,EPIC HOUSE,good-cool,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,CLEAR,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,1,0,0,0,-1,HARD CLEAR,2,0,0,0,-1,CLEAR,0,0,0,0,-1,NO PLAY,2015-11-28 17:30
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,0,7,0,0,0,-1,EASY CLEAR,10,0,0,0,-1,HARD CLEAR,0,0,0,0,-1,NO PLAY,2015-11-28 17:30
4th style,250bpm,GABBA,AKIRA YAMAOKA,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,10,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
4th style,ABSOLUTE,EPIC TRANCE,dj TAKA,2,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,CLEAR,10,2262,1071,120,2,HARD CLEAR,2016-07-25 17:51
4th style,B4U,SPEED RAVE,NAOKI,0,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
4th style,Broken My Heart,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
4th style,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,0,7,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,11,0,0,0,-1,CLEAR,2015-11-28 17:30
4th style,Clione,DUTCH TRANCE,kors k,0,4,0,0,0,-1,NO PLAY,5,0,0,0,-1,HARD CLEAR,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
4th style,DXY!,TECHNO,TaQ,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
4th style,empathy,DRUM'N'BASS,TaQ,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
4th style,era (step mix),DRUM'N'BASS,TaQ,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
4th style,HIGHER,DANCE POP,NM feat. Sunny,0,3,0,0,0,-1,NO PLAY,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
4th style,KAMIKAZE,TECHNO,dj nagureo,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,FULLCOMBO CLEAR,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
4th style,LOVE WILL・・・,TRANCE,riewo,0,4,0,0,0,-1,HARD CLEAR,4,0,0,0,-1,FULLCOMBO CLEAR,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
4th style,minimalian,MINIMAL,DETROIAN,1,3,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,9,1357,654,49,2,HARD CLEAR,2016-10-01 11:47
4th style,Mr.T.(take me higher),DANCE POP,Risky Men feat.Asuka-M,0,3,0,0,0,-1,NO PLAY,4,0,0,0,-1,NO PLAY,10,0,0,0,-1,EX HARD CLEAR,2015-11-28 17:30
4th style,starmine,HAPPY HARDCORE,Ryu☆,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,CLEAR,9,0,0,0,-1,NO PLAY,2015-11-28 17:30
4th style,Voltage (feat. Hidemaru),BIG BEAT,TaQ,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
4th style,Hitch Hiker2,WARP HOUSE,good-cool,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,CLEAR,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
4th style,ULTRA HIGH-HEELS,PARAPARA,dj TAKA feat.ANGEL,0,4,0,0,0,-1,FULLCOMBO CLEAR,5,0,0,0,-1,FULLCOMBO CLEAR,5,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
4th style,Burnin' The Floor,EURO GROOVE,NAOKI,0,3,0,0,0,-1,NO PLAY,4,0,0,0,-1,HARD CLEAR,7,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
4th style,Nasty!,DANCE POP,Baby Weapon feat.Asuka M,0,3,0,0,0,-1,NO PLAY,4,0,0,0,-1,NO PLAY,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
5th style,Abyss,INTELLIGENCE,dj TAKA,0,5,0,0,0,-1,CLEAR,7,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
5th style,Kiss me all night long,J-EURO POP,NAOKI J-STYLE feat.MIU,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,7,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
5th style,outer wall,TECHNO,sampling masters MEGA,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
5th style,QQQ,TECHNO,TaQ,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,10,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
5th style,Real,DRUM'N'BASS,Aya,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,9,0,0,0,-1,NO PLAY,2015-11-28 17:30
5th style,Regulus,INSTRUMENTAL,DJ.W,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
5th style,RIDE ON THE LIGHT (HI GREAT MIX),POWER FUSION,Mr.T,0,4,0,0,0,-1,NO PLAY,5,0,0,0,-1,HARD CLEAR,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
5th style,RISLIM,NEW ROMANTIC,ric,0,4,0,0,0,-1,NO PLAY,7,0,0,0,-1,HARD CLEAR,0,0,0,0,-1,NO PLAY,2015-11-28 17:30
5th style,Spin the disc,HOUSE,good-cool,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,HARD CLEAR,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
5th style,STILL IN MY HEART,HYPER EUROBEAT,NAOKI,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
5th style,still my words,AMBIENT,TaQ feat. Meg,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,CLEAR,0,0,0,0,-1,NO PLAY,2015-11-28 17:30
5th style,sync,TRANCE,OutPhase (TaQ/dj TAKA),0,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
5th style,V,PROGRESSIVE,TAKA,3,5,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,12,2766,1283,200,19,HARD CLEAR,2016-08-17 11:19
5th style,THE CUBE,DRUM'N'BASS,DJ SUWAMI,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,CLEAR,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
5th style,LOVE AGAIN TONIGHT～for Mellisa mix～,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,0,4,0,0,0,-1,NO PLAY,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
6th style,Blueberry Stream,HOUSE,dj TAKA,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
6th style,Buffalo,ROCK,good-cool feat. Hideo Suwa,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,Colors (radio edit),TRANCE,dj TAKA,1,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,12,2186,1005,176,33,HARD CLEAR,2016-06-18 09:26
6th style,DIVE ～INTO YOUR HEART～,HYPER TRANCE EURO BEAT,NAOKI feat.PAULA TERRY,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,fly through the night,TRANCE,Mr.T,0,4,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,Frozen Ray (original mix),TRANCE,dj TAKA,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,G2,DRUM'N'BASS,Aya,0,8,0,0,0,-1,EASY CLEAR,9,0,0,0,-1,HARD CLEAR,11,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,Linus,LOUNGE POP,LEGO STUDIO,0,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,11,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
6th style,NEMESIS,TECHNO,D.J.SETUP,0,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,11,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,rottel-da-sun,ROTTERDAM TECHNO,sampling masters MEGA,1,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,10,1707,780,147,4,HARD CLEAR,2015-11-28 17:38
6th style,route 80s,NOISY,sampling masters MEGA,0,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,Summer Vacation(CU mix),TRIP HOP,OutPhase,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,FULLCOMBO CLEAR,0,0,0,0,-1,NO PLAY,2015-11-28 17:30
6th style,Take It Easy,INSTRUMENTAL,Aya,0,7,0,0,0,-1,NO PLAY,10,0,0,0,-1,NO PLAY,11,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,こっちを向いてよ,SOUL,vivi,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,7,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
6th style,19，November,HOUSE,good-cool,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
7th style,A,RENAISSANCE,D.J.Amuro,0,6,0,0,0,-1,EASY CLEAR,10,0,0,0,-1,CLEAR,12,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
7th style,AVE DE RAPINA,ALTERNATIVE HOUSE,Shawn The Horny Master,0,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,Bad Routine,FILTER HOUSE,D.J. Spugna,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,Burning Heat! (Full Option Mix),12 BEAT,Mr.T with Motoaki.F,0,3,0,0,0,-1,NO PLAY,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
7th style,Cheer Train,BIG BEAT,Fuzita Blender,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
7th style,D2R,HYPER ROCK BEAT,NAOKI,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,HARD CLEAR,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,DESTINY,HYPER EUROBEAT,NAOKI feat.Paula Terry,0,5,0,0,0,-1,FULLCOMBO CLEAR,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,foreplay,PROGRESSIVE JAZZ,Osamu Kubota,1,4,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,8,1262,585,92,3,FULLCOMBO CLEAR,2016-10-01 12:55
7th style,Glorious Days,HIP HOP&SOUL,Noria,0,3,0,0,0,-1,NO PLAY,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,EX HARD CLEAR,2015-11-28 17:30
7th style,Happy Wedding,HOUSE,ASKA,0,6,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
7th style,Let the Snow Paint Me,AMBIENT POP,Sana,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,Love Me Do,NEW WAVE,AKIRA YAMAOKA,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,Marmalade Reverie,YEYE,Orange Lounge,0,4,0,0,0,-1,NO PLAY,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,MAX 300,HARDCORE TECHNO,Ω,0,8,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,0,0,0,0,-1,NO PLAY,2015-11-28 17:30
7th style,Spica,HOUSE,D.JW,4,4,0,0,0,-1,HARD CLEAR,9,0,0,0,-1,HARD CLEAR,11,2070,947,176,21,HARD CLEAR,2016-10-15 14:26
7th style,stoic,TECHNO,TaQ,0,8,0,0,0,-1,NO PLAY,10,0,0,0,-1,NO PLAY,11,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
7th style,Tomorrow Perfume,TRANCE,dj TAKA,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,CLEAR,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,traces,TRANCE,TaQ,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,ZERO-ONE,ELECTROSHOCK,Mr.T,0,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
7th style,革命,ORCHESTRAL,dj TAKA with NAOKI,0,6,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,abstract,BIG BEAT,TaQ,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,airflow,INSTRUMENTAL,Mr.T,0,3,0,0,0,-1,NO PLAY,5,0,0,0,-1,FULLCOMBO CLEAR,7,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,Attitude,TRANCE,Y&Co.,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,EASY CLEAR,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,bit mania,テクノ歌謡,AKIRA YAMAOKA,0,4,0,0,0,-1,NO PLAY,5,0,0,0,-1,FULLCOMBO CLEAR,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,Blame,EUROBEAT,good-cool feat. Jeff Coote,1,6,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,11,1825,854,117,11,HARD CLEAR,2016-10-15 15:02
8th style,CELEBRATE NITE,EURO GROOVE,N.M.R,0,5,0,0,0,-1,NO PLAY,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,Colors -Y&Co. Eurobeat Remix-,EUROBEAT,dj TAKA (remixed by 横田商会),0,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,dissolve,TRANCE,kobo,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,dual control,GARAGE HOUSE,Mr.T,0,5,0,0,0,-1,EASY CLEAR,7,0,0,0,-1,NO PLAY,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,FLUTE MAN,DEEP HOUSE,SPARKER,0,4,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,Giudecca,PSYCHEDELIC TECHNO,D.J.SETUP,0,4,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,11,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,Halfway of promise,GIRL ROCK,Yu Takami feat. Shihori Nakane,1,4,0,0,0,-1,HARD CLEAR,8,0,0,0,-1,NO PLAY,11,1675,754,167,10,HARD CLEAR,2016-10-23 18:48
8th style,LAB,RAVE,RAM,0,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,LOVE IS ORANGE,HARD CHANSON,Orange Lounge,0,4,0,0,0,-1,NO PLAY,6,0,0,0,-1,FULLCOMBO CLEAR,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,Monkey Dance,EUROBEAT,Y&Co.,0,4,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,murmur twins,CUDDLECORE,yu_tokiwa.djw,0,5,0,0,0,-1,EASY CLEAR,9,0,0,0,-1,FULLCOMBO CLEAR,11,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,MUSIC TO YOUR HEAD,TECHNO,SLAKE,0,4,0,0,0,-1,NO PLAY,7,0,0,0,-1,NO PLAY,9,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,PLEASE DON'T GO,DISCO,ASLETICS,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,12,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,rainbow flyer,TRANCE,dj TAKA,0,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,11,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,symbolic,TECHNO,TaQ,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,thunder,HOUSE,Lion MUSASHI,0,6,0,0,0,-1,NO PLAY,8,0,0,0,-1,NO PLAY,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,WAR GAME,HIP HOP,ASLETICS,0,4,0,0,0,-1,FULLCOMBO CLEAR,8,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,World Wide Love,POPS,MTO,0,3,0,0,0,-1,NO PLAY,5,0,0,0,-1,FULLCOMBO CLEAR,5,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
8th style,xenon,ELECTROSHOCK,Mr.T,1,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,11,2616,1247,122,5,FULLCOMBO CLEAR,2016-09-03 11:01
8th style,桜,SPIRITUAL,Reven-G,0,7,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,12,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
8th style,蒼い衝動,J-TRANCE,NAOKI feat.YUKI,0,5,0,0,0,-1,NO PLAY,7,0,0,0,-1,FULLCOMBO CLEAR,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
9th style,lower world,TECHNO,D.J.SETUP,0,6,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
9th style,lights,SOUL,flare,0,3,0,0,0,-1,NO PLAY,6,0,0,0,-1,FULLCOMBO CLEAR,8,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
9th style,MARIA (I believe... ),EUROBEAT,NAOKI feat.PAULA TERRY,0,4,0,0,0,-1,NO PLAY,8,0,0,0,-1,CLEAR,9,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
9th style,Cradle,HEALIN' HARDCORE,positive MA feat.akino,0,5,0,0,0,-1,NO PLAY,8,0,0,0,-1,FULLCOMBO CLEAR,10,0,0,0,-1,FULLCOMBO CLEAR,2015-11-28 17:30
9th style,Make A Difference,GOSPEL,Lala Moore with CoCoRo*Co,0,5,0,0,0,-1,NO PLAY,9,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,2015-11-28 17:30
9th style,moon_child,POST ROCK,少年ラジオ,4,5,0,0,0,-1,NO PLAY,10,0,0,0,-1,HARD CLEAR,12,2368,1082,204,14,HARD CLEAR,2016-09-03 10:30
